ID,SiO2(Wt%),TiO2(Wt%),Al2O3(Wt%),Cr2O3(Wt%),V2O3(Wt%),Fe2O3(Wt%),FeOT(Wt%),FeO(Wt%),CaO,MgO,MnO(Wt%),NiO,COO(Wt%),K2O(Wt%),Na2O(Wt%),P2O5(Wt%),MgNo,,
OL22642,41.33,0,0,,,,9.11,,0.25,49.7,0,0.49,,,,,90.6757268,,
OL22643,41.01,0,0,,,,9.09,,0.28,48.8,0,0.51,,,,,90.53890792,,
OL22666,40.21,0,0.01,0.01,,,9.64,,0.11,50.6,0.14,0.37,,,,,90.3441902,,
OL22669,39.51,0.02,0.02,0.03,,,10.45,,0.06,49.22,0.18,0.4,,,,,89.35697471,,
OL22677,40.61,0,0.01,0.04,,,8.26,,0.09,51.7,0.12,0.38,,,,,91.77430565,,
OL22684,41.2,,,,,,9.4,,0.1,50.3,0.15,0.34,,,,,90.51094579,,
OL22685,40.6,,,,,,10.4,,0.08,49.7,0.16,0.4,,,,,89.49409894,,
OL22686,40.2,,,,,,9.2,,0.09,50.5,0.11,0.38,,,,,90.72749017,,
OL22687,40.5,,,,,,9.7,,0.09,47.3,0.12,0.33,,,,,89.68237689,,
OL22688,41.2,,,,,,9.5,,0.08,50.6,0.16,0.36,,,,,90.4710574,,
OL22689,41,,,,,,9.8,,0.09,49.8,0.14,0.33,,,,,90.05785098,,
OL22690,41.1,,,,,,10.1,,0.12,49,0.14,0.35,,,,,89.63509485,,
OL22691,40.8,,,,,,10.1,,0.11,49.1,0.16,0.35,,,,,89.65402062,,
OL22692,41.3,,,,,,9.9,,0.08,49.7,0.14,0.29,,,,,89.94842068,,
OL22693,40.6,,,,,,10.1,,0.08,48.8,0.14,0.35,,,,,89.59703482,,
OL22694,40.7,,,,,,10,,0.05,49.6,0.12,0.36,,,,,89.83881634,,
OL22695,40.6,,,,,,11.8,,0.05,48,0.17,0.37,,,,,87.88024146,,
OL22697,41.1,,,,,,9.9,,0.05,49.4,0.17,0.33,,,,,89.89354787,,
OL22699,41,,,,,,9.9,,0.08,49.5,0.14,0.37,,,,,89.91190526,,
OL22700,41,0,0,0,,,8.2,,0.07,50.5,0.12,0.39,,,,,91.65122592,,
OL22701,41.2,0,0,0,,,8.9,,0.19,49.4,0.14,0.41,,,,,90.82069434,,
OL22702,41.3,0,0,0,,,8.3,,0.04,50.9,0.08,0.38,,,,,91.61878831,,
OL22704,41,0,0,0,,,9.1,,0.13,49.8,0.14,0.36,,,,,90.70197423,,
OL22706,40.8,0,0,0,,,9.2,,0.17,49.1,0.15,0.38,,,,,90.48824894,,
OL22708,40.7,0,0,0,,,9.5,,0.03,49.8,0.14,0.39,,,,,90.33278015,,
OL22709,41.12,0.01,0,0,,,9.14,,0.02,50.36,,0.2,,0,0,,90.75913205,,
OL22711,39.54,0,0,0.06,,,11.17,,0.01,48.91,,0.4,,0,0,,88.64303972,,
OL22829,40.65,0,0,0.04,,,9.68,,0.05,48.73,0.16,0.3,,,,,89.97337207,,
OL22830,40.48,0,0.04,0.04,,,9.38,,0.05,49.02,0.09,0.37,,,,,90.30589763,,
OL22833,40.37,0.01,0.01,0.02,,,8.94,,0.04,50.03,0.18,,,,,,90.88872827,,
OL22838,40.68,0.04,0,0.03,,,8.5,,0.06,50.66,0.1,0.43,,0.01,0.06,,91.39704138,,
OL22839,40.05,0,0,0,,,8.97,,0.04,50.09,0.11,0.34,,0,0.01,,90.87089556,,
OL22840,40.5,0,0.01,0.01,,,9.26,,0.15,49.19,0.14,0.35,,0.03,0.02,,90.44798459,,
OL22841,40.4,0.04,0.01,0,,,9.69,,0.01,50.41,0.16,0.37,,0,0.04,,90.26596173,,
OL22842,40.15,0,0.02,0,,,10.02,,0.05,50.06,0.1,0.35,,0,0.01,,89.90465822,,
OL22843,40.53,0,0.01,0,,,8.37,,0.04,50.72,0.17,0.29,,0.02,0.02,,91.52663946,,
OL22844,39.76,0,0.02,0.04,,,9.35,,0.01,49.52,0.16,0.33,,0,0.01,,90.4221554,,
OL22845,39.85,0.05,0.07,0.05,,,9.8,,0.1,49.64,0.17,0.31,,0.02,0.03,,90.02900064,,
OL22846,40.4,0,0.06,0.01,,,9.13,,0.07,50.09,0.14,0.37,,0.01,0.01,,90.72316379,,
OL22847,40.24,0.01,0.04,0,,,10.2,,0.05,49.93,0.14,0.43,,0,0.03,,89.71794592,,
OL23381,39.83,,,,,,12.2,,0.007,47.56,0.109,0.32,,,,,87.41974419,,
OL23382,39.38,,,,,,11.66,,0.031,46.92,0.101,0.299,,,,,87.76450829,,
OL23383,40.26,,,,,,11.43,,0.028,47.23,0.135,0.295,,,,,88.04632426,,
OL23408,41.45,,,,,,7.56,,0.019,51.08,0.045,0.338,,,,,92.33358115,,
OL23409,41.29,,,,,,7.79,,0.025,50.76,0.057,0.418,,,,,92.07297923,,
OL23410,41.37,,,,,,7.71,,0.02,51.16,0.062,0.294,,,,,92.2046003,,
OL23411,41.37,,,,,,7.26,,0.019,50.99,0.133,0.346,,,,,92.60326808,,
OL23457,40.83,,,,,,7.14,,0.003,51.49,0.102,0.315,,,,,92.78224475,,
OL23458,41.27,,,,,,7.22,,0.018,50.99,0.123,0.469,,,,,92.6410224,,
OL23459,41.41,,,,,,7.04,,0.037,51.35,0.14,0.409,,,,,92.85809701,,
OL23740,41.31,,,,,,8.81,,0.04,49.61,0.11,0.39,,,,,90.94008746,,
OL23787,40.5,,,,,,10.66,,0.08,48.81,0.14,0.35,,,,,89.08519708,,
OL23788,41.22,,,,,,10.23,,0.09,48.19,0.17,0.35,,,,,89.35820038,,
OL23789,41.13,,,,,,10.1,,0.07,48.11,0.13,0.41,,,,,89.46355456,,
OL23790,41,,,,,,10.08,,0.06,48.01,0.09,0.4,,,,,89.46262536,,
OL23791,41.34,,,,,,9.52,,0.04,48.97,0.1,0.34,,,,,90.16637974,,
OL23930,40.66,,,,,,10.75,,,48.04,0.15,0.35,,,,,88.84657817,,
OL23931,40.82,,,,,,10.07,,,48.55,0.15,0.32,,,,,89.57687169,,
OL23932,40.85,,,,,,10.05,,,48.8,,0.35,,,,,89.64320091,,
OL23945,41.38,,,,,,10.06,,0.03,49.57,0.16,0.37,,,,,89.77852684,,
OL23946,41.42,,,,,,10.31,,0.15,48.38,0.12,0.36,,,,,89.32148873,,
OL23947,40.84,,,,,,10.32,,0.04,48.09,0.14,0.34,,,,,89.25471268,,
OL23948,41.4,,,,,,9.02,,0.05,50.39,0.11,0.44,,,,,90.87431859,,
OL23949,41.09,,,,,,8.7,,0.04,49.21,0.13,0.39,,,,,90.97683937,,
OL23950,41.13,,,,,,8.52,,0.19,49.85,0.13,0.36,,,,,91.25071315,,
OL23951,41.73,,,,,,9.15,,0.03,50.05,0.14,0.45,,,,,90.69799332,,
OL23952,40.68,,,,,,9.25,,0.04,48.87,0.09,0.35,,,,,90.40082831,,
OL23953,40.77,,,,,,9.4,,0.07,48.41,0.11,0.4,,,,,90.17687015,,
OL23954,41.43,,,,,,9.02,,0.02,49.87,0.18,0.39,,,,,90.7879298,,
OL2464,40.95,0,0,0.1,,,8.4,8.4,0.09,49.67,0.09,0.33,,,0,,91.33471301,,
OL2465,40.38,0.01,0,0,,,8.36,8.36,0.06,50.77,0.09,0.31,,,0,,91.5435369,,
OL2466,40.93,0,0,0.03,,,8.6,8.6,0.09,49.82,0.11,0.28,,,0.03,,91.17096505,,
OL2467,40.85,0,0,0.6,,,8.92,8.92,0.08,49.75,0.1,0.23,,,0,,90.86075984,,
OL2468,39.65,0,0,0,,,8.6,8.6,0.02,50.28,0.13,0.4,,,0,,91.24466773,,
OL2469,41.04,0,0.03,0.2,,,8.47,8.47,0.05,49.74,0.12,0.26,,,0.03,,91.28002324,,
OL2470,40.91,0.01,0,0,,,8.36,8.36,0.02,50.32,0.11,0.33,,,0,,91.47436017,,
OL2471,40.79,0,0,0,,,8.19,8.19,0,50.56,0.13,0.35,,,0,,91.66963036,,
OL2472,40.84,0,0,0,,,8.14,8.14,0.03,50.54,0.12,0.34,,,0,,91.71326802,,
OL2473,40.95,0,0,0.07,,,8.58,8.58,0.07,49.71,0.12,0.31,,,0.04,,91.17191404,,
OL2474,40.9,0,0,0,,,8.6,8.6,0.02,50.25,0.11,0.32,,,0,,91.23989856,,
OL2475,40.33,0,0,0,,,8.06,8.06,0,51.22,0.08,0.3,,,0,,91.88820114,,
OL2476,40.5,0,0,0,,,8.2,8.2,0.01,50.28,0.16,0.31,,,0,,91.61775792,,
OL2478,41.16,0,0,0,,,8.58,8.58,0.15,50.18,0.09,0.3,,,0,,91.24736314,,
OL2479,40.86,0,0,0,,,8.5,8.5,0.06,50.31,0.08,0.29,,,0,,91.3423733,,
OL2480,41.56,0,0,0,,,8.35,8.35,0.09,49.37,0.09,0.3,,,0,,91.33401644,,
OL25049,40.75,,,0.04,,,8.15,,0.04,49.43,0.12,0.35,,,,,91.5334088,,
OL25050,41.43,,,0,,,7.07,,0.01,51.04,0.1,0.4,,,,,92.78943595,,
OL25051,40.78,,,0.01,,,7.43,,0.01,50.83,0.1,0.36,,,,,92.4211707,,
OL25052,41.26,,,0,,,8.59,,0.01,50.27,0.09,0.38,,,,,91.25237033,,
OL25053,41.29,,,0.02,,,8.47,,0.05,50.48,0.11,0.36,,,,,91.39685447,,
OL25054,41.02,,,0.01,,,7.48,,0.01,50.2,0.1,0.35,,,,,92.28573732,,
OL25055,41.03,,,0.01,,,7.37,,0.01,50.43,0.1,0.35,,,,,92.42262509,,
OL25056,40.81,,,0.02,,,7.15,,0.02,51.3,0.1,0.38,,,,,92.74804041,,
OL25057,41.01,,,0.04,,,7.35,,0.05,50.67,0.1,0.37,,,,,92.47473999,,
OL25058,40.94,,,0.01,,,7.09,,0.02,51.04,0.1,0.36,,,,,92.77051296,,
OL25059,41.26,,,0.04,,,7.21,,0.03,50.88,0.1,0.43,,,,,92.63574659,,
OL25340,39.99,0,0.03,0,0,,8.09,,0.04,50.94,0.11,0.37,,0.02,0,,91.81938565,,
OL25341,39.67,0.02,0.02,0.04,0.01,,7.85,,0.04,50.68,0.11,0.36,,0.02,0,,92.00520378,,
OL25342,40.3,0.01,0,0.02,0,,8,,0.02,50.37,0.11,0.35,,0.01,0,,91.81889349,,
OL25343,39.81,0,0,0,0,,7.69,,0.01,50.75,0.07,0.35,,0,0,,92.16534458,,
OL25344,39.66,0.04,0.04,0.08,0,,7.56,,0.04,50.41,0.1,0.37,,0.01,0,,92.2395941,,
OL25345,40.05,0.03,0.03,0.02,0,,7.45,,0,50.83,0.09,0.42,,0,0,,92.40232005,,
OL25346,39.73,0.04,0.06,0.08,0.01,,8.13,,0.05,50.55,0.12,0.41,,0.01,0,,91.72410758,,
OL25347,39.36,0.02,0.01,0,0.01,,7.78,,0.04,50.25,0.11,0.39,,0.02,0,,92.00841308,,
OL25348,39.96,0.01,0.05,0.04,0.06,,7.54,,0,50.9,0.13,0.35,,0.01,0,,92.3273418,,
OL25349,39.83,0.03,0.03,0.1,0.02,,7.64,,0.06,50.64,0.15,0.4,,0.01,0,,92.19672169,,
OL25350,39.66,0.04,0.01,0.1,0,,8.31,,0.03,50.24,0.11,0.41,,0.02,0,,91.50867227,,
OL25429,40.76,,,,,,9.73,,,48.23,0.15,0.39,,,,,89.83298708,,
OL25430,40.8,,,,,,10.48,,,47.81,0.13,0.4,,,,,89.0494544,,
OL25431,40.86,,,,,,9.8,,,49.3,0.14,0.4,,,,,89.96713428,,
OL25432,40.63,,,,,,11.48,,,47.71,0.17,0.35,,,,,88.10667614,,
OL25433,39.96,,,0.09,,,8.65,,0.17,50.8,0.16,0.36,,,,,91.28048571,,
OL25434,40.97,,0.009,0.023,,,8.57,,0.038,50.41,0.125,0.39,,,,,91.29309124,,
OL25435,40.99654,,0.009,0.018375,,,8.67743,,0.03775,50.293525,0.135375,0.371375,,,,,91.17496189,,
OL25436,41.101645,,0.011142857,0.015625,,,8.88959,,0.043625,50.14529,0.13475,0.380125,,,,,90.95440238,,
OL25437,41.01076,,0.013142857,0.018625,,,9.887045,,0.049375,49.53039,0.148625,0.374375,,,,,89.929336,,
OL25438,41.1372,,0.008,0.018375,,,8.5089,,0.035,50.509035,0.12425,0.37625,,,,,91.3652939,,
OL25439,41.295645,,0.009285714,0.010875,,,8.958465,,0.030375,50.62904,0.1395,0.3765,,,,,90.96988066,,
OL25440,41.168335,,0.008428571,0.015,,,9.90582,,0.037875,49.74069,0.157875,0.359875,,,,,89.95050604,,
OL25441,41.44900571,,0.014,0.017375,,,9.47446,,0.039375,50.06754714,0.138375,0.365375,,,,,90.40285107,,
OL25442,40.737295,,0.004875,0.017625,,,7.92656,,0.032625,50.460235,0.122375,0.3665,,,,,91.90123519,,
OL25443,41.24407,,0.01775,0.009375,,,10.349315,,0.0675,49.38234,0.147625,0.361,,,,,89.47973703,,
OL25444,41.26526,,0.02025,0.011125,,,10.36217,,0.06875,49.394265,0.1465,0.362625,,,,,89.47032088,,
OL25445,41.4287,,0.01925,0.01225,,,8.97665,,0.05975,50.544035,0.1325,0.39425,,,,,90.93937219,,
OL25446,41.271555,,0.01325,0.023375,,,8.82506,,0.05075,50.52716,0.134625,0.375125,,,,,91.07601644,,
OL25447,40.75337,,0.024625,0.009,,,9.667915,,0.061,49.42464,0.143625,0.364875,,,,,90.11147813,,
OL25448,40.823185,,0.019875,0.015,,,9.381645,,0.0535,49.576465,0.137875,0.37275,,,,,90.40274543,,
OL25449,40.87925,,0.010875,0.02025,,,9.149125,,0.05175,49.687885,0.135625,0.37775,,,,,90.63736139,,
OL25450,40.774315,,0.010125,0.018,,,9.49373,,0.04575,49.448775,0.1495,0.374875,,,,,90.27659318,,
OL25451,40.72767,,0.02175,0.0145,,,9.65314,,0.066375,49.381815,0.1475,0.363125,,,,,90.11738055,,
OL25452,40.72652,,0.020125,0.00975,,,10.140495,,0.064142857,49.00895429,0.15025,0.359625,,,,,89.59956345,,
OL25453,40.95114286,,0.011,0.023714286,,,8.695677143,,0.045428571,49.96749714,0.130571429,0.373428571,,,,,91.10548464,,
OL25454,41.08371429,,0.00675,0.019,,,8.650895,,0.047875,50.04883429,0.133,0.3845,,,,,91.16035103,,
OL25455,40.97873,,0.010625,0.025125,,,8.560285,,0.044125,50.1045,0.132375,0.381125,,,,,91.25370808,,
OL25456,41.007045,,0.01025,0.014875,,,8.24564,,0.032125,50.499,0.1315,0.3815,,,,,91.60850494,,
OL25457,40.629985,,0.02125,0.007375,,,10.30562,,0.06025,48.910875,0.146,0.359,,,,,89.42915346,,
OL25458,41.12220755,,0.012285714,0.025857143,,,8.545333797,,0.043285714,50.26842857,0.125714286,0.382857143,,,,,91.29364766,,
OL25459,40.81555,,0.015375,0.024,,,8.66335,,0.0675,50.076625,0.1265,0.37575,,,,,91.15322831,,
OL25460,41.123125,,0.013125,0.02225,,,8.346,,0.038875,50.47725,0.1355,0.370625,,,,,91.51169011,,
OL25461,41.03425,,0.01075,0.0285,,,8.50175,,0.042875,50.4115,0.133375,0.382,,,,,91.35667305,,
OL25462,40.871875,,0.011,0.024,,,9.043,,0.046625,50.074625,0.135625,0.37525,,,,,90.80086933,,
OL25463,40.78375,,0.007375,0.021875,,,9.815375,,0.048375,49.236625,0.139625,0.36225,,,,,89.94134412,,
OL25464,40.974,,0.02275,0.01675,,,9.140375,,0.061375,49.904625,0.133625,0.354,,,,,90.68231991,,
OL25465,41.14075,,0.0095,0.01375,,,8.70275,,0.03775,50.280125,0.127875,0.380375,,,,,91.14934026,,
OL25470,40.5,,0.01,0.007,,,12.56,,0.045,47.3,0.22,0.33,,,,,87.03469165,,
OL25471,40.83,,0.007,0.012,,,11.37,,0.039,48.43,0.18,0.32,,,,,88.36211517,,
OL25472,40.73,,0.009,0.009,,,11.35,,0.04,48.29,0.18,0.34,,,,,88.35044459,,
OL25473,40.67,,0.005,0.008,,,11.71,,0.037,48.09,0.19,0.34,,,,,87.98137416,,
OL25474,40.9,,0.023,0.008,,,11.57,,0.066,48.48,0.17,0.32,,,,,88.19234646,,
OL25475,41.04,,0.009,0.012,,,10.81,,0.046,49.03,0.18,0.34,,,,,88.99271496,,
OL25476,40.66,,0.01,0.014,,,13.58,,0.057,46.89,0.21,0.33,,,,,86.02349521,,
OL25477,40.56,,0.009,0.005,,,11.89,,0.048,47.55,0.18,0.32,,,,,87.69781975,,
OL25478,40.32,,0.013,0.006,,,13.83,,0.049,46.43,0.2,0.27,,,,,85.6822065,,
OL25479,40.02,,0.012,0.016,,,15.13,,0.052,45.11,0.24,0.31,,,,,84.16372589,,
OL25480,40.04,,0.012,0.025,,,14.34,,0.052,45.88,0.24,0.33,,,,,85.08156788,,
OL25482,39.44,,,,,,13.14,,0.05,47.22,0.25,0.33,,,,,86.4969431,,
OL25483,38.64,,,,,,12.69,,0.15,47.12,0.29,0.3,,,,,86.87463763,,
OL25484,38.82,,,,,,13.26,,0.23,46.6,0.37,0.26,,,,,86.23426432,,
OL25485,40.12,,,,,,13.29,,0.04,47.42,0.23,0.35,,,,,86.41351649,,
OL25486,40.08,,,,,,13.32,,0.16,47.06,0.25,0.34,,,,,86.29715524,,
OL25487,39.06,,,,,,12.34,,0.2,47.88,0.27,0.27,,,,,87.36791738,,
OL25489,41.32,,,,,,9.23,,,50.45,0.16,0.38,,,,,90.69170666,,
OL25490,40.25,,,,,,9.31,,0.03,48.92,0.15,,,,,,90.35349196,,
OL25491,40.85,0.05,0.03,,,,8.97,,0.1,50.76,0.08,,,,,,90.98052566,,
OL25492,40.48,,,,,,8.33,,0.04,50.41,0.1,,,,,,91.51623902,,
OL25493,40.65,,,,,,9.07,,0.08,50.32,0.13,0.46,,,,,90.81678535,,
OL25496,40.77,,,0.05,,,8.58,,,49.87,0.08,,,,,,91.19774445,,
OL25498,40.95,,,,,,9.19,,0.04,49.6,0.14,0.35,,,,,90.58437638,,
OL25499,40.88,,,,,,9.36,,0.06,49.91,0.1,0.37,,,,,90.48067674,,
OL25501,40.82,,,,,,8.77,,0.04,50.65,0.12,0.42,,,,,91.14636799,,
OL25502,40.46,,,,,,9.18,,0,49.91,,0.42,,,,,90.64661798,,
