ID,SiO2(Wt%),TiO2(Wt%),Al2O3(Wt%),Cr2O3(Wt%),V2O3(Wt%),Fe2O3(Wt%),FeOT(Wt%),FeO(Wt%),CaO,MgO,MnO(Wt%),NiO,COO(Wt%),K2O(Wt%),Na2O(Wt%),P2O5(Wt%),MgNo,,
OL86659,40.16,0,0.01,0,,,9,,0.05,49.29,0.13,0.48,0.02,,,,90.7083486,,
OL86660,40.52,0,0.01,0.01,,,9,,0.05,48.92,0.12,0.47,0.03,,,,90.644647,,
OL86661,40.06,0,0.01,0,,,8.9,,0.05,48.95,0.12,0.48,0.03,,,,90.74411914,,
OL86662,40.21,0,0.01,0.01,,,8.99,,0.05,48.79,0.1,0.45,0.02,,,,90.63150124,,
OL86663,40.19,0,0.01,0.01,,,9.12,,0.03,48.83,0.12,0.49,0.02,,,,90.51592333,,
OL86664,40.42,0,0,0.01,,,9.18,,0.03,48.85,0.12,0.47,0.03,,,,90.46301445,,
OL86665,40.06,0,0.01,0.02,,,8.89,,0.04,48.48,0.12,0.47,0.03,,,,90.67227725,,
OL86666,40.19,0,0.01,0.01,,,9.01,,0.04,49.12,0.13,0.47,0.03,,,,90.66979818,,
OL86667,40.14,0,0,0.01,,,9.14,,0.04,48.63,0.12,0.5,0.02,,,,90.4617467,,
OL86668,40.64,0,0,0.01,,,9.59,,0.04,48.76,0.15,0.46,0.04,,,,90.06283544,,
OL86669,40.32,0,0.01,0.01,,,9,,0.03,49.08,0.12,0.46,0.03,,,,90.67230051,,
OL86670,39.94,0,0,0.01,,,9.02,,0.03,49.12,0.11,0.47,0.03,,,,90.66040995,,
OL86671,40.4,0,0.01,0.01,,,8.9,,0.04,49.23,0.12,0.48,0.03,,,,90.79191531,,
OL86672,39.88,0,0.01,0,,,8.98,,0.04,48.97,0.13,0.47,0.03,,,,90.67213931,,
OL86673,40.41,0,0,0.01,,,8.84,,0.05,49.03,0.14,0.44,0.03,,,,90.81440929,,
OL86674,39.83,0,0.01,0.01,,,10.58,,0.03,47.88,0.16,0.45,0.02,,,,88.97086856,,
OL86675,39.95,0,0.01,0.01,,,9.33,,0.05,48.72,0.12,0.47,0.02,,,,90.2989444,,
OL86676,40.76,0,0.01,0.01,,,9.35,,0.04,48.84,0.13,0.44,0.02,,,,90.30173582,,
OL86677,39.8,0,0,0.01,,,9,,0.04,47.88,0.12,0.47,0.03,,,,90.46082397,,
OL86678,40.44,0,0.01,0.01,,,9.4,,0.05,48.63,0.13,0.46,0.02,,,,90.21696204,,
OL86679,40.9,0,0.01,0,,,9.55,,0.06,49.01,0.13,0.48,0.02,,,,90.14570284,,
OL86680,40.6,0,0,0.01,,,9.41,,0.05,48.61,0.13,0.47,0.04,,,,90.2039394,,
OL86681,40.9,0,0.01,0.01,,,9.48,,0.04,49.32,0.14,0.48,0.03,,,,90.26640298,,
OL86682,41.37,0,0.01,0,,,9.54,,0.05,49.66,0.13,0.46,0.03,,,,90.27133031,,
OL86683,40.88,0,0,0,,,9.6,,0.06,49.11,0.14,0.48,0.03,,,,90.11738583,,
OL86684,40.66,0,0.01,0,,,9.5,,0.05,49.14,0.12,0.48,0.03,,,,90.21564365,,
OL86685,40.65,0,0.01,0,,,9.59,,0.05,49.18,0.15,0.46,0.02,,,,90.13933123,,
OL86686,40.56,0,0.01,0.01,,,9.5,,0.06,48.82,0.15,0.47,0.02,,,,90.15782235,,
OL86687,40.83,0,0.01,0.01,,,9.52,,0.05,48.9,0.1,0.48,0.03,,,,90.15368903,,
OL86688,40.65,0,0.01,0.01,,,9.63,,0.05,49.19,0.13,0.49,0.02,,,,90.10408613,,
OL86689,40.7,0,0.01,0,,,9.58,,0.06,49.22,0.12,0.49,0.02,,,,90.15581842,,
OL86690,40.66,0,0.01,0.01,,,9.51,,0.05,48.91,0.09,0.47,0.03,,,,90.16482781,,
OL86691,40.8,0,0.01,0.01,,,9.58,,0.06,49.01,0.14,0.48,0.02,,,,90.11780606,,
OL86692,40.32,0,0.01,0,,,9.55,,0.06,48.74,0.13,0.45,0.02,,,,90.09652019,,
OL86693,40.69,0,0.01,0.01,,,8.59,,0.05,49.65,0.14,0.49,0.02,,,,91.15279934,,
OL86694,40.63,0,0,0.01,,,8.59,,0.05,49.68,0.12,0.52,0.02,,,,91.15766945,,
OL86695,40.84,0,0.01,0,,,8.62,,0.05,49.66,0.12,0.51,0.03,,,,91.12627204,,
OL86696,40.91,0,0,0,,,8.59,,0.06,49.42,0.12,0.49,0.02,,,,91.11528285,,
OL86697,40.79,0,0.01,0,,,8.59,,0.05,49.89,0.1,0.48,0.03,,,,91.19161066,,
OL86698,40.87,0,0.01,0.01,,,8.54,,0.05,49.96,0.1,0.49,0.03,,,,91.24959153,,
OL86699,40.77,0,0.01,0.01,,,8.58,,0.05,49.88,0.11,0.5,0.02,,,,91.19935383,,
OL86700,40.72,0,0.01,0,,,8.57,,0.04,49.58,0.09,0.49,0.03,,,,91.16021696,,
OL86701,40.82,0,0,0,,,8.58,,0.04,49.72,0.1,0.49,0.02,,,,91.17353288,,
OL86702,40.6,0,0,0.01,,,8.59,,0.05,50.01,0.11,0.47,0.02,,,,91.21088891,,
OL86703,40.75,0,0.01,0,,,8.53,,0.05,49.85,0.11,0.5,0.03,,,,91.24134347,,
OL86704,40.9,0,0.01,0.01,,,8.52,,0.05,49.25,0.13,0.5,0.02,,,,91.1535523,,
OL86705,40.9,0,0.01,0,,,8.48,,0.05,49.72,0.09,0.49,0.03,,,,91.26742203,,
OL86706,40.6,0,0.01,0.01,,,8.68,,0.04,49.88,0.13,0.53,0.02,,,,91.10590502,,
OL86707,40.44,0,0.01,0.01,,,10.11,,0.04,49.06,0.14,0.48,0.03,,,,89.63726987,,
OL86708,40.28,0,0.01,0,,,10.07,,0.04,48.16,0.12,0.47,0.03,,,,89.5013267,,
OL86709,40.43,0,0.01,0,,,10.09,,0.04,48.07,0.14,0.48,0.03,,,,89.46505151,,
OL86710,40.31,0,0.01,0.01,,,10.1,,0.04,48.23,0.11,0.48,0.04,,,,89.48701403,,
OL86711,40.45,0,0,0,,,10.1,,0.03,48.36,0.12,0.45,0.03,,,,89.51231085,,
OL86712,40.52,0,0.01,0,,,10.13,,0.04,48.48,0.14,0.49,0.03,,,,89.50773269,,
OL86713,40.01,0,0,0,,,10.14,,0.04,48.47,0.13,0.46,0.03,,,,89.49652374,,
OL86714,40.46,0,0.01,0,,,10.17,,0.04,48.72,0.14,0.49,0.02,,,,89.51709588,,
OL86715,40.65,0,0.01,0,,,10.21,,0.04,48.83,0.13,0.48,0.02,,,,89.50141269,,
OL86716,40.5,0,0.01,0,,,10.18,,0.04,48.76,0.15,0.48,0.03,,,,89.51557445,,
OL86717,40.42,0,0.01,0,,,10.31,,0.04,48.97,0.15,0.48,0.03,,,,89.43655491,,
OL86718,40.41,0,0.01,0,,,10.1,,0.04,49,0.14,0.51,0.03,,,,89.63509485,,
OL87564,41.33222353,,,,,,6.982258824,,,51.10652941,0.097988235,0.341129412,,,,,92.88116139,,
OL87565,41.6468,,,,,,7.0702,,,51.11221667,0.11195,0.321,,,,,92.79870111,,
OL87566,41.58655,,,,,,7.5282,,,50.46506667,0.110716667,0.314233333,,,,,92.27749744,,
OL87567,41.36471667,,,,,,6.941633333,,,51.1127,0.090866667,0.333416667,,,,,92.92044312,,
OL87568,41.31008333,,,,,,7.211333333,,,50.78341667,0.084916667,0.377783333,,,,,92.62151041,,
OL87569,41.17633333,,,,,,7.718283333,,,50.51665,0.094383333,0.342683333,,,,,92.10534821,,
OL87570,40.98911667,,,,,,7.724666667,,,50.45195,0.100416667,0.361816667,,,,,92.09000441,,
OL87571,41.3056,,,,,,7.557983333,,,50.47,0.090783333,0.347866667,,,,,92.25001229,,
OL87572,41.32366667,,,,,,7.037716667,,,50.84398333,0.09725,0.3671,,,,,92.79431093,,
OL87573,41.43276667,,,,,,7.3346,,,50.79621667,0.11025,0.272666667,,,,,92.50658681,,
OL87574,41.2889,,,,,,7.632016667,,,50.4298,0.104,0.3081,,,,,92.17428881,,
OL87575,41.40882222,,,,,,6.926588889,,,50.97104444,0.097411111,0.381411111,,,,,92.91645788,,
OL87578,41.538275,,,,,,7.32385,,,50.7869,0.0953,0.382674,,,,,92.51547768,,
OL87579,41.28396667,,,,,,7.656483333,,,50.57996667,0.0856,0.433709,,,,,92.17264869,,
OL87580,41.17771667,,,,,,7.43405,,,50.61978333,0.088916667,0.425822667,,,,,92.38826009,,
OL87581,41.5634,,,,,,7.5904,,,50.8341,0.1161,0.42657,,,,,92.27077995,,
OL87582,41.0443,,,,,,9.0451,,,49.7927,0.167,0.36875,,,,,90.75165145,,
OL87583,41.5169,,,,,,8.0222,,,49.5377,0.0629,0.436836,,,,,91.6717259,,
OL87584,41.4118,,,,,,7.6349,,,50.6784,0.0889,0.381258,,,,,92.20697303,,
OL87585,41.6294,,,,,,7.8367,,,50.7487,0.1019,0.361198,,,,,92.0276123,,
OL87586,41.389,,,,,,8.2669,,,50.2866,0.1029,0.396244,,,,,91.55616104,,
OL87587,41.857,,,,,,7.5115,,,51.0766,0.0799,0.422558,,,,,92.37854702,,
OL87588,41.3234,,,,,,7.4144,,,51.1072,0.1177,0.446748,,,,,92.47381876,,
OL87589,41.1934,,,,,,7.2648,,,51.1182,0.0775,0.385624,,,,,92.61593074,,
OL87590,41.1865,,,,,,8.2147,,,49.9503,0.1103,0.38999,,,,,91.55325555,,
OL87591,41.32323333,,,,,,8.03855,,,49.90851667,0.13155,0.402262,,,,,91.71302499,,
OL87592,41.32178333,,,,,,8.38415,,,49.92691667,0.124683333,0.360627667,,,,,91.39033019,,
OL87593,40.92411667,,,,,,8.964733333,,,49.36908333,0.114533333,0.402616,,,,,90.75484711,,
OL87594,40.919,,,,,,8.951716667,,,49.27418333,0.14585,0.413472,,,,,90.75089392,,
OL87595,40.89766667,,,,,,8.650233333,,,49.48455,0.1176,0.407729333,,,,,91.06917545,,
OL87596,41.2465875,,,,,,8.6879125,,,49.4957875,0.108425,0.3651215,,,,,91.03561526,,
OL87597,41.12051429,,,,,,8.493571429,,,49.68534286,0.120514286,0.382657143,,,,,91.24910226,,
OL87598,41.1958,,,,,,8.4819,,,49.4349,0.1029,0.402852,,,,,91.21968656,,
OL87599,41.0682,,,,,,8.6126,,,49.5878,0.1244,0.37347,,,,,91.12145056,,
OL87600,41.2766,,,,,,8.5685,,,49.1555,0.0871,0.394356,,,,,91.09209962,,
OL87601,41.5941,,,,,,8.6547,,,49.8799,0.0884,0.352466,,,,,91.12951326,,
OL87602,41.5105,,,,,,9.1899,,,49.5479,0,0.361316,,,,,90.57550176,,
OL87603,41.1766,,,,,,8.7172,,,49.9605,0.1109,0.41123,,,,,91.08429498,,
OL87604,41.23386,,,,,,9.59325,,,48.82046,0.09422,0.3753,,,,,90.07089034,,
OL87605,41.1486,,,,,,9.071,,,48.7793,0.1165,0.4044,,,,,90.55318738,,
OL87606,41.6683,,,,,,8.112,,,50.7234,0.1418,0.397778,,,,,91.76682673,,
OL87607,41.0611,,,,,,8.6925,,,50.3354,0.0923,0.376892,,,,,91.16769411,,
OL87608,41.0712,,,,,,8.6009,,,48.879,0.0849,0.395182,,,,,91.01540607,,
OL87869,40.21,,,,,,9.08,,0.11,49.62,0.21,0.39,,,,,90.68998512,,
OL89817,41.49,0.01,0,0.01,,,9.45,,0.02,48.15,0.13,0.42,,0,0.01,,90.0817657,,
OL89818,41.3,0,0.01,0.01,,,9.66,,0.04,48.11,0.13,0.39,,0,0.01,,89.87609795,,
OL89819,41.45,0.01,0.01,0.03,,,9.75,,0.05,47.94,0.13,0.4,,0,0.01,,89.7589115,,
OL89820,40.98,0,0.02,0,,,9.97,,0.05,47.93,0.16,0.38,,0,0.01,,89.55002187,,
OL89821,41.18,0.01,0.02,0.01,,,10.05,,0.08,47.93,0.13,0.4,,0.01,0.01,,89.47499585,,
OL89822,41.07,0.01,0.01,0.01,,,9.75,,0.04,48.54,0.13,0.42,,0,0.01,,89.87268085,,
OL89823,41.34,0.01,0.01,0.06,,,9.22,,0.04,48.52,0.13,0.41,,0,0.01,,90.3665913,,
OL89824,41.36,0.01,0.02,0.01,,,9.46,,0.06,48.6,0.13,0.37,,0,0.01,,90.15518556,,
OL89825,41.34,0.01,0.02,0.01,,,9.37,,0.07,48.4,0.13,0.39,,0,0.02,,90.20332437,,
OL91912,41.05,,,,,,8.62,,0.08,49.74,0.15,0.41,,,,,91.1392796,,
OL91913,40.81,,,,,,8.38,,,49.97,0.09,0.42,,,,,91.40100681,,
OL91914,41.23,,,,,,7.8,,,50.71,0.1,0.41,,,,,92.05640727,,
OL91916,41.14,,,,,,8.53,,0.05,50.43,0.12,0.36,,,,,91.33334729,,
OL91917,40.81,,,,,,8.31,,0.05,49.77,0.13,0.41,,,,,91.43535269,,
OL91918,41.1,,,,,,8.38,,,50.13,0.12,0.38,,,,,91.42609909,,
OL91921,40.89,,,,,,8.28,,,49.83,0.12,0.41,,,,,91.47303474,,
OL91922,41.01,,,,,,8.36,,0.05,50.01,0.14,0.38,,,,,91.42604297,,
OL91923,41.15,,,,,,8.26,,0.03,49.87,0.12,0.37,,,,,91.49812295,,
OL91925,40.72,,,,,,9.35,,0.05,49.2,0.12,0.38,,,,,90.36586206,,
OL91926,40.73,,,,,,8.93,,0.05,49.5,0.14,0.37,,,,,90.80949306,,
OL91929,40.79,,,,,,9.11,,0.05,49.79,0.14,0.43,,,,,90.6910123,,
OL91931,41.25,,,,,,9.15,,0.07,49.42,0.15,0.21,,,,,90.59057028,,
OL91935,40.83,,,,,,8.61,,0.05,49.32,0.14,0.39,,,,,91.07999612,,
OL91937,40.7,,,,,,8.96,,0.05,49.22,0.13,0.39,,,,,90.73388157,,
OL91938,40.64,,,,,,9.29,,0.05,48.9,0.15,0.42,,,,,90.36866122,,
OL91939,40.79,,,,,,8.92,,0.05,49.24,0.11,0.4,,,,,90.77483323,,
OL91940,41.07,,,,,,9.4,,0.05,49.96,0.13,0.42,,,,,90.45253405,,
OL91941,40.79,,,,,,8.82,,0.05,49.55,0.12,0.38,,,,,90.92075157,,
OL92446,40.79,0.02,0.02,0.01,,,10.26,,0.03,48.04,0.12,0.39,,0,0,,89.30057204,,
OL92447,41.16,0.01,0.02,0.01,,,8.73,,0.02,48.85,0.1,0.4,,0,0.01,,90.88791481,,
OL92448,41.15,0.01,0.06,0.05,,,8.61,,0.15,48.7,0.11,0.38,,0,0,,90.97668243,,
OL92449,40.89,0.01,0.08,0.07,,,8.77,,0.2,48.85,0.13,0.34,,0,0.02,,90.84998432,,
OL92450,40.84,0.03,0.03,0.02,,,9.29,,0.08,48.34,0.11,0.4,,0,0.01,,90.26794449,,
OL92451,40.8,0.13,0.04,0.03,,,9.31,,0.11,48.59,0.1,0.41,,0,0.02,,90.29433612,,
OL92452,40.92,0.02,0.05,0.04,,,9.32,,0.11,48.79,0.12,0.37,,0,0.02,,90.32089336,,
OL92453,40.97,0.02,0.06,0.05,,,8.83,,0.19,48.81,0.09,0.39,,0,0.01,,90.78629805,,
OL92454,40.83,0.01,0.03,0.02,,,11.26,,0.06,46.65,0.11,0.41,,0,0.01,,88.07396095,,
OL92455,40.41,0.04,0.03,0.02,,,10.71,,0.08,47.29,0.1,0.35,,0,0.01,,88.72703677,,
OL92456,40.96,0.02,0.07,0.06,,,9.54,,0.13,48.32,0.11,0.37,,0,0.02,,90.02843952,,
OL92457,41.16,0.02,0.02,0.01,,,8.92,,0.04,49.01,0.12,0.38,,0,0,,90.73555112,,
OL92458,41.07,0.01,0.07,0.1,,,8.47,,0.12,48.8,0.1,0.37,,0,0.01,,91.12696023,,
OL92459,41.05,0,0.07,0.05,,,8.8,,0.16,48.75,0.14,0.35,,0,0.01,,90.80446095,,
OL92460,40.93,0.01,0.08,0.07,,,8.87,,0.15,49.11,0.12,0.37,,0,0.02,,90.79973719,,
OL117435,41.438,0,0.001,0,,,8.344,,0.041,50.472,0,0.376,,0.019,0.012,,91.51274377,,
OL117436,41.421,0,0.029,0,,,8.167,,0.031,50.039,0,0.381,,0.019,0.012,,91.61182602,,
OL117437,41.312,0.001,0,0.005,,,9.092,,0.024,49.372,0,0.356,,0.021,0.057,,90.63639106,,
OL117438,41.24,0,0,0.044,,,9.149,,0.023,49.52,0,0.352,,0.028,0.008,,90.60871699,,
OL117439,40.683,0,0.023,0,,,8.852,,0.019,49.141,0,0.352,,0.016,0.035,,90.82195433,,
OL117440,40.85,0,0.016,0.017,,,8.882,,0.032,49.172,0,0.358,,0.021,0,,90.79898294,,
OL117441,40.839,0,0,0.056,,,8.701,,0.04,49.242,0,0.395,,0.015,0,,90.98123126,,
OL117442,41.144,0.007,0.019,0,,,8.855,,0.045,49.338,0,0.333,,0.012,0.017,,90.85243407,,
OL117443,41.288,0,0.037,0.022,,,8.612,,0.05,50.354,0,0.398,,0.027,0.024,,91.24527726,,
OL117444,41.522,0.005,0.027,0,,,8.47,,0.073,50.329,0,0.381,,0.032,0.02,,91.37326951,,
OL117447,39.625,0,0.064,0,,,17.909,,0.108,42.29,0,0.152,,0.03,0.037,,80.80336689,,
OL117448,39.626,0,0.073,0,,,17.186,,0.094,42.727,0,0.125,,0.029,0.043,,81.58939447,,
OL117449,39.473,0.012,0.067,0.032,,,17.537,,0.106,42.232,0,0.139,,0.022,0.028,,81.10583481,,
OL118864,41.8,0.007,0.002,0.005,,,8.68,,0.01,49.3,0.13,0.37,,0.002,0.004,,91.01067471,,
OL118865,42.3,0.008,0.076,0.221,,,5.9,,0.24,51.2,0.1,0.34,,0.003,0.02,,93.92790388,,
OL118866,41.4,0.011,0.007,0.004,,,9.85,,0.01,48.4,0.15,0.33,,0.003,0.005,,89.75289279,,
OL118867,42.04908,0.00758,0.068815,0.28892,,,6.95321,,0.239975,50.16402,0.11443,0.253825,,0.00527,0.03887,,92.78505539,,
OL118870,41.7,0.011,0.006,0.003,,,9.99,,0.02,48.2,0.17,0.35,,0.004,0.005,,89.58378761,,
OL118871,42,0.006,0.018,0.275,,,7.04,,0.17,50.2,0.14,0.28,,0.005,0.02,,92.70642066,,
OL118872,41.4,0.005,0.004,0.01,,,9.74,,0.01,48.4,0.16,0.36,,0.002,0.004,,89.85571891,,
OL118873,41.7,0.006,0.02,0.133,,,8.34,,0.12,49.2,0.14,0.27,,0.003,0.02,,91.31618316,,
OL118874,41.6,0.004,0.009,0.004,,,9.19,,0.02,48.9,0.15,0.37,,0.002,0.01,,90.46244749,,
OL118875,41.6,0.009,0.024,0.14,,,8.01,,0.17,49.8,0.11,0.28,,0.002,0.01,,91.72351699,,
OL118877,41.7,0.008,0.006,0.027,,,9.28,,0.03,48.7,0.17,0.41,,0.001,0.01,,90.34233208,,
OL118878,42.4,0.011,0.099,0.136,,,6.13,,0.13,50.7,0.15,0.25,,0.01,0.06,,93.64796591,,
OL3451,41,0.03,0.01,0.04,,,8.18,,0.07,50.6,0.15,0.44,,,,,91.68498633,,
OL3452,41,0.01,0.02,0.02,,,8.8,,0.06,50.25,0.15,0.41,,0.01,0.01,,91.05439955,,
OL3453,41.25,0.01,0.01,0.02,,,8.45,,0.06,50.65,0.12,0.39,,0.01,0.01,,91.44177206,,
OL3454,40.55,0.01,0.15,0.04,,,9.39,,0.28,49.2,0.12,0.41,,0.02,0.02,,90.3286326,,
OL3455,40.7,0.03,0.03,0.03,,,9.13,,0.13,50.3,0.13,0.4,,,0.01,,90.75831478,,
OL3458,40.55,0.02,0.04,0.04,,,12.55,,0.16,47.3,0.16,0.37,,0.01,0.02,,87.04367691,,
OL3459,40.4,0.02,0.03,0.05,,,11.02,,0.14,48.3,0.16,0.38,,0.01,0.02,,88.65279613,,
OL3460,40.25,,0.02,0.03,,,13.35,,0.07,46.45,0.19,0.31,,0.02,0.03,,86.11526361,,
OL3461,39.65,0.01,0.01,0.05,,,12.25,,0.07,47.4,0.17,0.33,,,0.01,,87.33747451,,
OL120508,40.0372,0.0245,0.0293,0.0316,,,14.4535,,0.1593,46.126,0.195,0.2653,,,,0.0047,85.04934671,,
OL120509,39.8782,0.0032,0.0381,0.0009,,,14.4609,,0.1356,46.2607,0.1717,0.2889,,,,0.0385,85.07989077,,
OL120510,39.7403,0.006,0.021,0.0147,,,14.4824,,0.1312,45.8202,0.2129,0.2899,,,,0.0082,84.9390339,,
OL120511,39.9052,0.0016,0.0191,0.0217,,,14.4339,,0.1552,46.2093,0.1823,0.2895,,,,0.0082,85.08949932,,
OL120512,39.969,0.0093,0.0283,0.0449,,,14.3348,,0.2025,46.0674,0.1924,0.2574,,,,0.0093,85.13782288,,
OL120513,39.8496,0,0.0351,0,,,14.5544,,0.1252,46.0012,0.1711,0.2674,,,,0.0159,84.92602181,,
OL120514,39.6584,0.0112,0.0288,0.0141,,,14.4392,,0.1226,46.0212,0.196,0.2593,,,,0,85.03300316,,
OL120515,40.0051,0.0233,0.0324,0.0334,,,14.3344,,0.1471,45.9558,0.1774,0.2736,,,,0,85.10746004,,
OL120516,39.9627,0.0183,0.0371,0.0141,,,14.5603,,0.1301,46.0798,0.185,0.2793,,,,0,84.9426808,,
OL120517,39.9298,0.0088,0.0279,0.0076,,,14.547,,0.1298,46.1035,0.1927,0.2683,,,,0.0004,84.96093661,,
OL120518,39.9093,0.0187,0.0358,0.0109,,,14.6675,,0.1313,46.0705,0.1795,0.2766,,,,0.0039,84.84602318,,
OL120519,40.0136,0.0113,0.0247,0.0287,,,14.5373,,0.1354,45.9342,0.1978,0.264,,,,0.0059,84.92241198,,
OL120520,40.036,0.0183,0.0272,0.0981,,,14.5543,,0.1341,46.2968,0.1835,0.2586,,,,0.0142,85.00792576,,
OL120521,39.7231,0.0189,0.0335,0.0257,,,14.6121,,0.1333,45.9269,0.2038,0.2664,,,,0,84.85453779,,
OL120522,39.9739,0.0189,0.0275,0.0476,,,14.2527,,0.1457,46.0122,0.1852,0.2896,,,,0.0146,85.19523824,,
OL120523,39.8149,0.0345,0.0275,0.0133,,,14.2436,,0.1282,46.1062,0.1897,0.2982,,,,0.0114,85.22900319,,
OL120524,40.1256,0.0229,0.0285,0.0259,,,14.318,,0.1312,46.0909,0.2074,0.2804,,,,0.0168,85.15910146,,
OL120525,39.8895,0.0179,0.022,0.0139,,,14.3376,,0.1161,46.0669,0.1765,0.2707,,,,0.0046,85.13521404,,
OL120526,39.7757,0.0136,0.0266,0.0096,,,14.2874,,0.1194,46.0768,0.1902,0.2589,,,,0,85.1822589,,
OL120527,39.7427,0.0093,0.0449,0.0069,,,14.4099,,0.1313,46.1306,0.1742,0.2858,,,,0.0159,85.08898629,,
OL120528,39.8757,0.0089,0.0185,0.0175,,,14.1238,,0.1865,46.0873,0.1788,0.2563,,,,0.0202,85.32988813,,
OL120529,39.8921,0.0139,0.032,0.0256,,,14.3919,,0.1262,46.1555,0.1964,0.2812,,,,0.0135,85.11167716,,
OL120530,39.7229,0.0252,0.0262,0.0304,,,14.3618,,0.1135,45.9188,0.1892,0.2794,,,,0.04,85.07301416,,
OL120531,39.8957,0.0102,0.0281,0.0069,,,14.6618,,0.1349,45.6845,0.1951,0.2861,,,,0.011,84.74255167,,
OL120532,39.6743,0.0148,0.0297,0.0118,,,14.6333,,0.1222,45.7065,0.2195,0.2778,,,,0.0039,84.77390738,,
OL120533,39.7396,0.0138,0.0337,0.0214,,,14.7415,,0.1317,45.8796,0.1799,0.2981,,,,0,84.72755159,,
OL120534,39.8129,0.0045,0.0261,0.0091,,,14.7537,,0.1341,45.8037,0.1836,0.2795,,,,0.006,84.69539454,,
OL120535,39.7751,0.0176,0.0204,0.0151,,,14.55,,0.1279,45.8495,0.1981,0.2911,,,,0.0085,84.88756572,,
OL120536,39.6497,0.0215,0.0308,0.0248,,,14.6193,,0.1399,45.9206,0.1782,0.264,,,,0,84.846442,,
OL120537,39.7877,0.0194,0.0267,0.0166,,,14.7129,,0.1322,45.8941,0.1894,0.3029,,,,0,84.75674689,,
OL120538,39.8006,0.0104,0.0279,0.0033,,,14.8596,,0.139,45.5711,0.2141,0.2614,,,,0,84.53601756,,
OL120539,39.6615,0.0201,0.0339,0.0111,,,14.8964,,0.156,45.5553,0.1972,0.2767,,,,0.0069,84.49911389,,
OL120540,39.7177,0.0295,0.014,0.0021,,,14.1683,,0.1204,45.5453,0.166,0.2999,,,,0.022,85.14142829,,
OL120541,39.8239,0.0147,0.0278,0.0184,,,14.4124,,0.1403,45.6189,0.2099,0.2789,,,,0,84.94469037,,
OL120542,39.9322,0.0241,0.0222,0.0233,,,14.7216,,0.1118,45.22,0.219,0.2837,,,,0,84.55687052,,
OL120543,39.8309,0.024,0.0223,0,,,14.573,,0.1228,45.4213,0.1939,0.2749,,,,0.0042,84.74639208,,
OL120544,40.0584,0.0011,0.0241,0.0206,,,14.1561,,0.1355,45.5181,0.1753,0.2668,,,,0.0053,85.14476858,,
OL120545,39.9485,0.0092,0.0153,0.0124,,,14.1707,,0.132,45.6835,0.1775,0.2964,,,,0.0221,85.17757789,,
OL120546,39.6051,0.0183,0.019,0.023,,,14.2459,,0.1343,45.8852,0.187,0.2562,,,,0.0018,85.16637252,,
OL120547,39.9634,0.0143,0.0185,0.0064,,,13.7845,,0.1237,45.9146,0.1904,0.3006,,,,0,85.58542108,,
OL120548,39.9919,0.0095,0.0175,0.0239,,,13.8815,,0.1351,45.9033,0.1766,0.2938,,,,0.012,85.4956445,,
OL120549,39.702,0.0127,0.0182,0.0309,,,13.8347,,0.123,46.0375,0.1801,0.3006,,,,0,85.57354874,,
OL120550,39.7758,0.0213,0.0213,0.023,,,13.8869,,0.1102,46.212,0.1921,0.2905,,,,0.0137,85.5737611,,
OL120551,39.9165,0.0149,0.0205,0,,,13.9149,,0.1238,46.5285,0.1908,0.2636,,,,0.0075,85.63305492,,
OL120552,40.122,0.0194,0.0187,0.0215,,,13.7802,,0.1257,45.9314,0.1826,0.3204,,,,0.0193,85.59378121,,
OL120553,39.824,0.0271,0.0296,0.0143,,,13.6704,,0.1279,46.0891,0.1739,0.2935,,,,0.0014,85.73411778,,
OL120554,39.8911,0.0114,0.0156,0.0812,,,13.9146,,0.1234,45.8835,0.1921,0.266,,,,0.0024,85.46072598,,
OL120555,40.0197,0.0186,0.0139,0.0255,,,13.8379,,0.1398,46.2002,0.1854,0.3017,,,,0.0049,85.61419793,,
OL120583,39.6689,0.0073,0.0022,0.0141,,,14.4069,,0.141,45.6636,0.1861,0.332,,,,0,84.96208834,,
OL120584,39.7841,0.0175,0.0063,0.0151,,,14.1934,,0.1312,45.6789,0.2158,0.3205,,,,0.0013,85.15608531,,
OL120585,39.8454,0,0.0246,0.0112,,,14.201,,0.1675,45.5546,0.22,0.3265,,,,0,85.11482758,,
OL120586,39.474,0.0073,0.0133,0,,,14.2848,,0.1638,45.5213,0.1983,0.3078,,,,0.0115,85.03082525,,
OL120587,39.8518,0,0.0156,0,,,14.1609,,0.1627,45.6838,0.2069,0.3276,,,,0.0124,85.18639296,,
OL120588,39.5751,0.0232,0.0172,0.0075,,,14.2425,,0.1605,45.7612,0.1824,0.3173,,,,0,85.13517465,,
OL120589,39.8866,0.0044,0.0177,0.0169,,,14.1677,,0.1383,45.6266,0.2094,0.319,,,,0.0001,85.16451123,,
OL120590,39.9701,0.0055,0.0191,0.0181,,,14.2465,,0.1808,45.7502,0.1957,0.3193,,,,0.0103,85.12857733,,
OL120591,39.9116,0.0109,0.0218,0.0124,,,14.3131,,0.1549,45.78,0.1752,0.3165,,,,0.0188,85.07770447,,
OL120592,39.7755,0.0079,0.0244,0,,,14.3217,,0.1574,45.7182,0.1865,0.3214,,,,0.0095,85.05291197,,
OL120593,39.7076,0.0296,0.0259,0.0105,,,14.3508,,0.1163,45.5794,0.1874,0.3233,,,,0,84.98833732,,
